transcript_id	drop_status	description
ENSMUST00000013227	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000014389	False	Warning: Missing `5'UTR'
ENSMUST00000014695	True	Fatal: Missing `CDS`
ENSMUST00000014927	False	Warning: Missing `5'UTR'
ENSMUST00000015138	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000015595	True	Fatal: Missing `CDS`
ENSMUST00000015948	True	Fatal: Missing `CDS`
ENSMUST00000016344	False	Warning: Missing `3'UTR'
ENSMUST00000016399	False	Warning: Missing `3'UTR'
ENSMUST00000016668	False	Warning: Missing `5'UTR'
ENSMUST00000016698	True	Fatal: Missing `CDS`
ENSMUST00000017065	True	Fatal: Missing `CDS`
ENSMUST00000017077	True	Fatal: Missing `CDS`
ENSMUST00000017126	False	Warning: Missing `3'UTR'
ENSMUST00000017270	False	Warning: Missing `5'UTR'
ENSMUST00000017316	False	Warning: Missing `5'UTR'
ENSMUST00000017859	True	Fatal: `CDS` not in `mRNA`
ENSMUST00000017922	True	Fatal: Missing `CDS`
ENSMUST00000018343	True	Fatal: Missing `CDS`
ENSMUST00000019829	True	Fatal: Missing `CDS`
ENSMUST00000019901	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000019909	False	Warning: Missing `3'UTR'
ENSMUST00000019925	False	Warning: Missing `5'UTR'
ENSMUST00000019955	False	Warning: Missing `3'UTR'
ENSMUST00000020003	False	Warning: Missing `5'UTR'
ENSMUST00000020090	True	Fatal: Missing `CDS`
ENSMUST00000020173	False	Warning: Missing `3'UTR'
ENSMUST00000020200	False	Warning: Missing `3'UTR'
ENSMUST00000020222	True	Fatal: Missing `CDS`
ENSMUST00000020226	True	Fatal: Missing `CDS`
ENSMUST00000020231	False	Warning: Missing `3'UTR'
ENSMUST00000020287	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000020410	False	Warning: Missing `5'UTR'
ENSMUST00000020435	False	Warning: Missing `5'UTR'
ENSMUST00000020552	False	Warning: Missing `5'UTR'
ENSMUST00000020562	False	Warning: Missing `3'UTR'
ENSMUST00000020577	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000020628	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000020673	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000020770	True	Fatal: Missing `CDS`
ENSMUST00000020824	True	Fatal: Missing `CDS`
ENSMUST00000020858	False	Warning: Missing `3'UTR'
ENSMUST00000020963	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000020985	False	Warning: Missing `5'UTR'
ENSMUST00000021056	False	Warning: Missing `5'UTR'
ENSMUST00000021079	True	Fatal: Missing `CDS`
ENSMUST00000021101	True	Fatal: Missing `CDS`
ENSMUST00000021190	False	Warning: Missing `3'UTR'
ENSMUST00000021220	False	Warning: Missing `3'UTR'
ENSMUST00000021227	False	Warning: Missing `5'UTR'
ENSMUST00000021322	True	Fatal: Missing `CDS`
ENSMUST00000021378	True	Fatal: Missing `CDS`
ENSMUST00000021407	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000021423	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000021496	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000021520	False	Warning: Missing `5'UTR'
ENSMUST00000021573	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000021647	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000021701	True	Fatal: Missing `CDS`
ENSMUST00000021834	False	Warning: Missing `3'UTR'
ENSMUST00000021898	False	Warning: Missing `5'UTR'
ENSMUST00000021911	False	Warning: Missing `5'UTR'
ENSMUST00000021921	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000021925	True	Fatal: `CDS` not in `mRNA`
ENSMUST00000022049	True	Fatal: Missing `CDS`
ENSMUST00000022186	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000022192	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000022260	True	Fatal: Missing `CDS`
ENSMUST00000022295	True	Fatal: Missing `CDS`
ENSMUST00000022356	False	Warning: Missing `5'UTR'
ENSMUST00000022427	True	Fatal: Missing `CDS`
ENSMUST00000022433	False	Warning: Missing `3'UTR'
ENSMUST00000022438	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000022493	True	Fatal: Missing `CDS`
ENSMUST00000022521	False	Warning: Missing `5'UTR'
ENSMUST00000022555	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000022707	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000022711	True	Fatal: Missing `CDS`
ENSMUST00000022788	False	Warning: Missing `3'UTR'
ENSMUST00000023039	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000023138	False	Warning: Missing `5'UTR'
ENSMUST00000023207	True	Fatal: Missing `CDS`
ENSMUST00000023235	False	Warning: Missing `3'UTR'
ENSMUST00000023244	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000023246	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000023292	True	Fatal: Missing `CDS`
ENSMUST00000023352	False	Warning: Missing `5'UTR'
ENSMUST00000023434	False	Warning: Missing `3'UTR'
ENSMUST00000023469	True	Fatal: Missing `CDS`
ENSMUST00000023534	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000023648	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000023652	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000023698	True	Fatal: `CDS` not in `mRNA`
ENSMUST00000023745	False	Warning: Missing `3'UTR'
ENSMUST00000024155	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000024238	False	Warning: Missing `5'UTR'
ENSMUST00000024761	False	Warning: Missing `5'UTR'
ENSMUST00000024796	True	Fatal: Missing `CDS`
ENSMUST00000024798	True	Fatal: Missing `CDS`
ENSMUST00000024888	False	Warning: Missing `5'UTR'
ENSMUST00000024889	False	Warning: Missing `5'UTR'
ENSMUST00000024914	False	Warning: Missing `3'UTR'
ENSMUST00000024979	False	Warning: Missing `5'UTR'
ENSMUST00000025040	True	Fatal: Missing `CDS`
ENSMUST00000025307	True	Fatal: Missing `CDS`
ENSMUST00000025428	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000025434	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000025464	False	Warning: Missing `3'UTR'
ENSMUST00000025572	True	Fatal: Missing `CDS`
ENSMUST00000025669	True	Fatal: Missing `CDS`
ENSMUST00000025746	True	Fatal: `CDS` not in `mRNA`
ENSMUST00000025760	False	Warning: Missing `5'UTR'
ENSMUST00000025794	True	Fatal: `CDS` not in `mRNA`
ENSMUST00000025823	False	Warning: Missing `5'UTR'
ENSMUST00000026048	True	Fatal: Missing `CDS`
ENSMUST00000026432	False	Warning: Missing `5'UTR'
ENSMUST00000026740	False	Warning: Missing `5'UTR'
ENSMUST00000026843	True	Fatal: Missing `CDS`
ENSMUST00000026868	False	Warning: Missing `3'UTR'
ENSMUST00000026895	True	Fatal: `CDS` not in `mRNA`
ENSMUST00000026901	True	Fatal: Missing `CDS`
ENSMUST00000026907	True	Fatal: `CDS` not in `mRNA`
ENSMUST00000026956	False	Warning: Missing `5'UTR'
ENSMUST00000026957	False	Warning: Missing `5'UTR'
ENSMUST00000027054	True	Fatal: Missing `CDS`
ENSMUST00000027122	False	Warning: Missing `5'UTR'
ENSMUST00000027168	False	Warning: Missing `3'UTR'
ENSMUST00000027671	False	Warning: Missing `5'UTR'
ENSMUST00000027812	False	Warning: Missing `5'UTR'
ENSMUST00000027847	True	Fatal: Missing `CDS`
ENSMUST00000027861	False	Warning: Missing `5'UTR'
ENSMUST00000027888	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000027895	True	Fatal: Missing `CDS`
ENSMUST00000028016	False	Warning: Missing `3'UTR'
ENSMUST00000028055	True	Fatal: Missing `CDS`
ENSMUST00000028110	True	Fatal: Missing `CDS`
ENSMUST00000028141	True	Fatal: Missing `CDS`
ENSMUST00000028161	False	Warning: Missing `5'UTR'
ENSMUST00000028187	False	Warning: Missing `5'UTR'
ENSMUST00000028228	True	Fatal: Missing `CDS`
ENSMUST00000028248	False	Warning: Missing `5'UTR'
ENSMUST00000028291	True	Fatal: Missing `CDS`
ENSMUST00000028308	True	Fatal: `CDS` not in `mRNA`
ENSMUST00000028362	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000028406	True	Fatal: Missing `CDS`
ENSMUST00000028588	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000028621	True	Fatal: Missing `CDS`
ENSMUST00000028653	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000028677	True	Fatal: Missing `CDS`
ENSMUST00000028767	False	Warning: Missing `5'UTR'
ENSMUST00000028787	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000028803	False	Warning: Missing `5'UTR'
ENSMUST00000028857	False	Warning: Missing `5'UTR'
ENSMUST00000028890	False	Warning: Missing `5'UTR'
ENSMUST00000029025	False	Warning: Missing `5'UTR'
ENSMUST00000029057	False	Warning: Missing `5'UTR'
ENSMUST00000029124	True	Fatal: Missing `CDS`
ENSMUST00000029139	False	Warning: Missing `3'UTR'
ENSMUST00000029203	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000029217	False	Warning: Missing `5'UTR'
ENSMUST00000029347	False	Warning: Missing `5'UTR'
ENSMUST00000029393	False	Warning: Missing `3'UTR'
ENSMUST00000029406	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000029548	False	Warning: Missing `3'UTR'
ENSMUST00000029588	False	Warning: Missing `3'UTR'
ENSMUST00000029642	True	Fatal: Missing `CDS`
ENSMUST00000029662	False	Warning: Missing `3'UTR'
ENSMUST00000029667	False	Warning: Missing `5'UTR'
ENSMUST00000029726	True	Fatal: Missing `CDS`
ENSMUST00000029824	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000029827	True	Fatal: Missing `CDS`
ENSMUST00000029944	False	Warning: Missing `3'UTR'
ENSMUST00000030316	True	Fatal: `CDS` not in `mRNA`
ENSMUST00000030346	True	Fatal: Missing `CDS`
ENSMUST00000030347	True	Fatal: Missing `CDS`
ENSMUST00000030352	True	Fatal: Missing `CDS`
ENSMUST00000030438	True	Fatal: Missing `CDS`
ENSMUST00000030454	False	Warning: Missing `3'UTR'
ENSMUST00000030474	False	Warning: Missing `5'UTR'
ENSMUST00000030555	True	Fatal: Missing `CDS`
ENSMUST00000030571	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000030584	False	Warning: Missing `5'UTR'
ENSMUST00000030741	False	Warning: Missing `3'UTR'
ENSMUST00000030785	False	Warning: Missing `5'UTR'
ENSMUST00000030951	True	Fatal: Missing `CDS`
ENSMUST00000030975	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000031049	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000031086	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000031104	False	Warning: Missing `3'UTR'
ENSMUST00000031158	True	Fatal: Missing `CDS`
ENSMUST00000031274	True	Fatal: Missing `CDS`
ENSMUST00000031359	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000031402	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000031488	True	Fatal: Missing `CDS`
ENSMUST00000031521	False	Warning: Missing `3'UTR'
ENSMUST00000031583	False	Warning: Missing `5'UTR'
ENSMUST00000031590	False	Warning: Missing `3'UTR'
ENSMUST00000031618	True	Fatal: Missing `CDS`
ENSMUST00000031768	False	Warning: Missing `5'UTR'
ENSMUST00000031863	True	Fatal: Missing `CDS`
ENSMUST00000031937	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000031975	True	Fatal: Missing `CDS`
ENSMUST00000032093	False	Warning: Missing `5'UTR'
ENSMUST00000032108	True	Fatal: Missing `CDS`
ENSMUST00000032109	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000032132	False	Warning: Missing `5'UTR'
ENSMUST00000032146	False	Warning: Missing `3'UTR'
ENSMUST00000032206	False	Warning: Missing `3'UTR'
ENSMUST00000032222	True	Fatal: `CDS` not in `mRNA`
ENSMUST00000032238	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000032268	False	Warning: Missing `3'UTR'
ENSMUST00000032315	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000032317	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000032331	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000032353	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000032364	False	Warning: Missing `5'UTR'
ENSMUST00000032395	True	Fatal: Missing `CDS`
ENSMUST00000032495	True	Fatal: Missing `CDS`
ENSMUST00000032517	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000032594	False	Warning: Missing `5'UTR'
ENSMUST00000032598	False	Warning: Missing `3'UTR'
ENSMUST00000032719	False	Warning: Missing `5'UTR'
ENSMUST00000032797	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000032823	False	Warning: Missing `5'UTR'
ENSMUST00000032858	True	Fatal: Missing `CDS`
ENSMUST00000032872	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000032884	True	Fatal: Missing `CDS`
ENSMUST00000032900	True	Fatal: Missing `CDS`
ENSMUST00000033045	True	Fatal: Missing `CDS`
ENSMUST00000033146	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000033170	True	Fatal: Missing `CDS`
ENSMUST00000033326	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000033477	False	Warning: Missing `5'UTR'
ENSMUST00000033495	True	Fatal: `CDS` not in `mRNA`
ENSMUST00000033651	True	Fatal: Missing `CDS`
ENSMUST00000033665	False	Warning: Missing `5'UTR'
ENSMUST00000033688	True	Fatal: Missing `CDS`
ENSMUST00000033784	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000033786	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000033892	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000033965	False	Warning: Missing `5'UTR'
ENSMUST00000034031	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000034057	False	Warning: Missing `3'UTR'
ENSMUST00000034183	True	Fatal: Missing `CDS`
ENSMUST00000034233	True	Fatal: `CDS` not in `mRNA`
ENSMUST00000034259	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000034519	False	Warning: Missing `5'UTR'
ENSMUST00000034550	True	Fatal: Missing `CDS`
ENSMUST00000034581	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000034583	False	Warning: Missing `5'UTR'
ENSMUST00000034592	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000034646	True	Fatal: Missing `CDS`
ENSMUST00000034842	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000034889	False	Warning: Missing `5'UTR'
ENSMUST00000034916	True	Fatal: Missing `CDS`
ENSMUST00000034940	True	Fatal: Missing `CDS`
ENSMUST00000034953	False	Warning: Missing `5'UTR'
ENSMUST00000035215	True	Fatal: Missing `CDS`
ENSMUST00000035278	False	Warning: Missing `5'UTR'
ENSMUST00000035513	True	Fatal: Missing `CDS`
ENSMUST00000035534	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000035569	True	Fatal: `CDS` not in `mRNA`
ENSMUST00000035701	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000035751	False	Warning: Missing `3'UTR'
ENSMUST00000035860	True	Fatal: Missing `CDS`
ENSMUST00000035908	False	Warning: Missing `5'UTR'
ENSMUST00000035973	False	Warning: Missing `5'UTR'
ENSMUST00000036016	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000036068	False	Warning: Missing `5'UTR'
ENSMUST00000036104	True	Fatal: Missing `CDS`
ENSMUST00000036195	False	Warning: Missing `5'UTR'
ENSMUST00000036208	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000036304	True	Fatal: Missing `CDS`
ENSMUST00000036329	True	Fatal: `CDS` not in `mRNA`
ENSMUST00000036357	False	Warning: Missing `3'UTR'
ENSMUST00000036374	False	Warning: Missing `3'UTR'
ENSMUST00000036439	False	Warning: Missing `3'UTR'
ENSMUST00000036576	False	Warning: Missing `5'UTR'
ENSMUST00000036715	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000036876	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000036976	True	Fatal: Missing `CDS`
ENSMUST00000037049	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000037071	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000037072	True	Fatal: `CDS` not in `mRNA`
ENSMUST00000037284	True	Fatal: Missing `CDS`
ENSMUST00000037313	False	Warning: Missing `3'UTR'
ENSMUST00000037448	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000037520	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000037575	False	Warning: Missing `5'UTR'
ENSMUST00000037640	True	Fatal: Missing `CDS`
ENSMUST00000037718	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000037840	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000037901	False	Warning: Missing `5'UTR'
ENSMUST00000037942	False	Warning: Missing `5'UTR'
ENSMUST00000037953	True	Fatal: Missing `CDS`
ENSMUST00000037976	False	Warning: Missing `5'UTR'
ENSMUST00000038032	True	Fatal: Missing `CDS`
ENSMUST00000038212	False	Warning: Missing `5'UTR'
ENSMUST00000038213	False	Warning: Missing `5'UTR'
ENSMUST00000038250	True	Fatal: Missing `CDS`
ENSMUST00000038304	True	Fatal: Missing `CDS`
ENSMUST00000038336	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000038366	True	Fatal: Missing `CDS`
ENSMUST00000038384	False	Warning: Missing `5'UTR'
ENSMUST00000038391	True	Fatal: Missing `CDS`
ENSMUST00000038650	False	Warning: Missing `5'UTR'
ENSMUST00000038750	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000038804	True	Fatal: Missing `CDS`
ENSMUST00000038811	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000038889	False	Warning: Missing `5'UTR'
ENSMUST00000038901	True	Fatal: Missing `CDS`
ENSMUST00000038949	False	Warning: Missing `5'UTR'
ENSMUST00000039074	False	Warning: Missing `5'UTR'
ENSMUST00000039075	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000039080	True	Fatal: Missing `CDS`
ENSMUST00000039127	False	Warning: Missing `5'UTR'
ENSMUST00000039324	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000039375	True	Fatal: Missing `CDS`
ENSMUST00000039597	False	Warning: Missing `5'UTR'
ENSMUST00000039612	False	Warning: Missing `5'UTR'
ENSMUST00000039695	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000039726	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000039939	True	Fatal: Missing `CDS`
ENSMUST00000040105	False	Warning: Missing `5'UTR'
ENSMUST00000040309	False	Warning: Missing `3'UTR'
ENSMUST00000040338	True	Fatal: Missing `CDS`
ENSMUST00000040427	True	Fatal: Missing `CDS`
ENSMUST00000040443	True	Fatal: Missing `CDS`
ENSMUST00000040459	False	Warning: Missing `3'UTR'
ENSMUST00000040486	True	Fatal: Missing `CDS`
ENSMUST00000040608	True	Fatal: Missing `CDS`
ENSMUST00000040649	True	Fatal: Missing `CDS`
ENSMUST00000040846	False	Warning: Missing `3'UTR'
ENSMUST00000040944	False	Warning: Missing `5'UTR'
ENSMUST00000040980	True	Fatal: Missing `CDS`
ENSMUST00000040983	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000041003	False	Warning: Missing `5'UTR'
ENSMUST00000041042	False	Warning: Missing `5'UTR'
ENSMUST00000041159	True	Fatal: Missing `CDS`
ENSMUST00000041164	True	Fatal: `CDS` not in `mRNA`
ENSMUST00000041178	True	Fatal: Missing `CDS`
ENSMUST00000041180	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000041218	True	Fatal: Missing `CDS`
ENSMUST00000041226	False	Warning: Missing `5'UTR'
ENSMUST00000041342	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000041389	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000041415	False	Warning: Missing `5'UTR'
ENSMUST00000041422	False	Warning: Missing `3'UTR'
ENSMUST00000041531	False	Warning: Missing `5'UTR'
ENSMUST00000041537	False	Warning: Missing `5'UTR'
ENSMUST00000041618	False	Warning: Missing `5'UTR'
ENSMUST00000041641	False	Warning: Missing `3'UTR'
ENSMUST00000041662	False	Warning: Missing `3'UTR'
ENSMUST00000041730	False	Warning: Missing `5'UTR'
ENSMUST00000041838	False	Warning: Missing `5'UTR'
ENSMUST00000041845	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000041924	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000041964	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000041998	True	Fatal: Missing `CDS`
ENSMUST00000042009	False	Warning: Missing `5'UTR'
ENSMUST00000042061	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000042065	False	Warning: Missing `5'UTR'
ENSMUST00000042090	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000042103	False	Warning: Missing `5'UTR'
ENSMUST00000042185	False	Warning: Missing `3'UTR'
ENSMUST00000042266	False	Warning: Missing `5'UTR'
ENSMUST00000042280	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000042627	False	Warning: Missing `5'UTR'
ENSMUST00000042671	True	Fatal: Missing `CDS`
ENSMUST00000042676	True	Fatal: Missing `CDS`
ENSMUST00000042771	False	Warning: Missing `3'UTR'
ENSMUST00000042917	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000043081	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000043104	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000043170	True	Fatal: Missing `CDS`
ENSMUST00000043209	False	Warning: Missing `5'UTR'
ENSMUST00000043279	False	Warning: Missing `5'UTR'
ENSMUST00000043380	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000043400	False	Warning: Missing `5'UTR'
ENSMUST00000043458	False	Warning: Missing `3'UTR'
ENSMUST00000043605	False	Warning: Missing `5'UTR'
ENSMUST00000043658	True	Fatal: Missing `CDS`
ENSMUST00000043676	False	Warning: Missing `5'UTR'
